GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,ProxyFactory,0,66,0,0,0,12,0,11,0,11
Apache Commons DbUtils,org.apache.commons.dbutils,GenerousBeanProcessor,0,69,1,11,0,17,1,7,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,BaseResultSetHandler,1048,0,2,0,291,0,193,0,192,0
Apache Commons DbUtils,org.apache.commons.dbutils,StatementConfiguration,0,68,0,10,0,17,0,16,0,11
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,17,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,QueryRunner,191,686,29,71,39,191,35,56,10,31
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.properties,StringEnumPropertyHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.properties,DatePropertyHandler,0,73,1,15,0,21,1,10,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractListHandler,0,19,0,2,0,5,0,3,0,2
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ColumnListHandler,0,37,0,2,0,13,0,6,0,5
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,MapListHandler,0,15,0,0,0,6,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanMapHandler,0,63,0,2,0,18,0,8,0,7
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanListHandler,0,21,0,0,0,7,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanHandler,0,26,0,2,0,7,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,MapHandler,0,20,0,2,0,6,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayHandler,0,28,0,2,0,8,0,5,0,4
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ScalarHandler,0,42,0,4,0,15,0,7,0,5
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractKeyedHandler,0,25,0,2,0,6,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayListHandler,0,15,0,0,0,6,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,KeyedHandler,0,54,0,2,0,17,0,8,0,7
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,BooleanColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,LongColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,ByteColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,FloatColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,DoubleColumnHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,StringColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,IntegerColumnHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,SQLXMLColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,TimestampColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,ShortColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.wrappers,SqlNullCheckedResultSet,0,399,1,23,0,117,1,57,0,46
Apache Commons DbUtils,org.apache.commons.dbutils.wrappers,StringTrimmedResultSet,0,41,1,5,0,11,1,6,0,4
