GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,17,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,QueryRunner,162,430,21,39,31,119,25,36,8,23
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractListHandler,0,19,0,2,0,5,0,3,0,2
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ColumnListHandler,0,37,0,2,0,13,0,6,0,5
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,MapListHandler,0,15,0,0,0,6,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanMapHandler,0,63,0,2,0,18,0,8,0,7
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanListHandler,0,21,0,0,0,7,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanHandler,0,26,0,2,0,7,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,MapHandler,0,20,0,2,0,6,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayHandler,0,28,0,2,0,8,0,5,0,4
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ScalarHandler,0,42,0,4,0,15,0,7,0,5
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractKeyedHandler,0,25,0,2,0,6,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayListHandler,0,15,0,0,0,6,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,KeyedHandler,6,48,0,2,2,15,1,7,1,6
Apache Commons DbUtils,org.apache.commons.dbutils.wrappers,SqlNullCheckedResultSet,9,349,3,15,1,106,4,51,1,45
Apache Commons DbUtils,org.apache.commons.dbutils.wrappers,StringTrimmedResultSet,0,41,1,5,0,10,1,6,0,4
